,Item,Reel,Year,Pre,Nos,Title,Place,Minister,Church,Remarks,
,[1/2135],,1871,,1 - 400,,,,,,
,[1/2136],,1871,,401 - 800,,,,,,
,[1/2137],,1871,,801 - 1144,,,,,,
,[1/2138],,1871,,1145 - 1500,,,,,,
,[1/2139],,1871,,1501 - 1800,,,,,,
,[1/2140],,1871,,1801 - 2200,,,,,,
,[1/2141],,1871,,2201 - 2600,,,,,,
,[1/2142],,1871,,2601 - 3000,,,,,,
,[1/2143],,1871,,3001 - 3400,,,,,,
,[1/2144],,1871,,3401 - 3900,,,,,,
,[1/2145],,1871,,3901 - 4200,,,,,,
,[1/2146],,1871,,4201 - 4650,,,,,,
,[1/2147],,1871,,4651 - 5100,,,,,,
,[1/2148],,1871,,5101 - 5450,,,,,,
,[1/2149],,1871,,5451 - 6000,,,,,,
,[1/2150],,1871,,6001 - 6500,,,,,,
,[1/2151],,1871,,6501 - 7300,,,,,,
,[1/2152],,1871,,7301 - 7900,,,,,,
,[1/2153],,1871,,7901 - 8299,,,,,,
,[1/2154],,1871,,8300 - 8800,,,,,,
,[1/2155],,1871,,8801 - 9145,,,,,,
,[1/2156],,1871,,9151 - 9600,,,,,,
,[1/2157],,1871,,,Despatches,,,,M2558/B - M2740/B,
,[1/2158.1],,1871,,,Legislative Assembly,,,,LA 71/51 - 71/114; in bundle 'Legislative Assembly and Council',
,[1/2158.1],,1871,,,Legislative Council,,,,LC 71/6 – 71/10; in bundle 'Legislative Assembly and Council',
,[1/2158.2],,1871,,,Minutes,,,,M16992 - M17099,
,[1/2159],,1871,,,Miscellaneous,,,,,
,[1/2160],,1871,,,Unregistered,,,,,
,[1/2161],,1872,,1 - 300,,,,,,
,[1/2162],,1872,,301 - 650,,,,,,
,[1/2163],,1872,,651 - 900,,,,,,
,[1/2164],,1872,,901 - 1350,,,,,,
,[1/2165],,1872,,1351 - 1800,,,,,,
,[1/2166],,1872,,1801 - 2150,,,,,,
,[1/2167],,1872,,2151 - 2450,,,,,,
,[1/2168],,1872,,2451 - 2700,,,,,,
,[1/2169],,1872,,2701 - 3100,,,,,,
,[1/2170],,1872,,3101 - 3600,,,,,,
,[1/2171],,1872,,3601 - 3800,,,,,,
,[1/2172],,1872,,3801 - 4000,,,,,,
,[1/2173],,1872,,4001 - 4200,,,,,,
,[1/2174],,1872,,4201 - 4500,,,,,,
,[1/2175],,1872,,4501 - 4750,,,,,,
,[1/2176],,1872,,4751 - 5000,,,,,,
,[1/2177],,1872,,5001 - 5296,,,,,,
,[1/2178],,1872,,5301 - 5600,,,,,,
,[1/2179],,1872,,5601 - 5900,,,,,,
,[1/2180],,1872,,5901 - 6150,,,,,,
,[1/2181],,1872,,6151 - 6300,,,,,,
,[1/2182],,1872,,6301 - 6500,,,,,,
,[1/2183],,1872,,6501 - 6800,,,,,,
,[1/2184],,1872,,6801 - 7100,,,,,,
,[1/2185],,1872,,7101 - 7400,,,,,,
,[1/2186],,1872,,7401 - 7700,,,,,,
,[1/2187],,1872,,7701 - 8000,,,,,,
,[1/2188],,1872,,8001 - 8300,,,,,,
,[1/2189],,1872,,8301 - 8600,,,,,,
,[1/2190],,1872,,8601 - 8900,,,,,,
,[1/2191],,1872,,8901 - 9200,,,,,,
,[1/2192],,1872,,9201 - 9500,,,,,,
,[1/2193],,1872,,9501 - 9800,,,,,,
,[1/2194],,1872,,9801 - 10123,,,,,,
,[1/2195],,1872,,,Despatches,,,,M2742/B - M2788/B,
,[1/2196],,1872,,,Despatches,,,,M2789/B - M2833/B,
,[1/2197],,1872,,,Despatches,,,,M2834/B - M2886/B including Pental Island Commission papers,
,[1/2198],,1872,,,Despatches,,,,M2890/B - M2917/B,
,[1/2199],,1872,,,Elections,,,,- Declarations,
,[1/2200],,1872,,,Elections,,,,,
,[1/2201],,1872,,,Minutes,,,,M17100 - M17220,
,[1/2202],,1872,,,Legislative Assembly,,,,in bundle 'Legislative Assembly and Council',
,[1/2202],,1872,,,Legislative Council,,,,in bundle 'Legislative Assembly and Council',
,[1/2203],,1872,,,Statutes,,,,,
,[1/2204],,1872,,,Unnoted,,,,72/131 - 72/9899 including Estimates,
,[1/2205],,1873,,1 - 300,,,,,,
,[1/2206],,1873,,301 - 600,,,,,,
,[1/2207],,1873,,601 - 900,,,,,,
,[1/2208],,1873,,901 - 1200,,,,,,
,[1/2209],,1873,,1201 - 1500,,,,,,
,[1/2210],,1873,,1501 - 1800,,,,,,
,[1/2211],,1873,,1801 - 2100,,,,,,
,[1/2212],,1873,,2101 - 2400,,,,,,
,[1/2213],,1873,,2401 - 2700,,,,,,
,[1/2214],,1873,,2701 - 3000,,,,,,
,[1/2215],,1873,,3001 - 3300,,,,,,
,[1/2216],,1873,,3301 - 3600,,,,,,
,[1/2217],,1873,,3601 - 3900,,,,,,
,[1/2218],,1873,,3901 - 4200,,,,,,
,[1/2219],,1873,,4201 - 4500,,,,,,
,[1/2220],,1873,,4501 - 4800,,,,,,
,[1/2221],,1873,,4801 - 5100,,,,,,
,[1/2222],,1873,,5101 - 5400,,,,,,
,[1/2223],,1873,,5401 - 5700,,,,,,
,[1/2224],,1873,,5701 - 6000,,,,,,
,[1/2225],,1873,,6001 - 6300,,,,,,
,[1/2226],,1873,,6301 - 6600,,,,,,
,[1/2227],,1873,,6601 - 6900,,,,,,
,[1/2228],,1873,,6901 - 7200,,,,,,
,[1/2229],,1873,,7201 - 7500,,,,,,
,[1/2230],,1873,,7501 - 7800,,,,,,
,[1/2231],,1873,,7801 - 8100,,,,,,
,[1/2232],,1873,,8101 - 8400,,,,,,
,[1/2233],,1873,,8401 - 8700,,,,,,
,[1/2234],,1873,,8701 - 9000,,,,,,
,[1/2235],,1873,,9006 - 9126,,,,,,
,[1/2236],,1873,,9127 - 9300,,,,,,
,[1/2237],,1873,,9301 - 9600,,,,,,
,[1/2238],,1873,,9601 - 9900,,,,,,
,[1/2239],,1873,,9901 - 10373,,,,,,
,[1/2240],,1873,,,Despatches,,,,M2918/B - M3023/B,
,[1/2241],,1873,,,Minutes,,,,M17223 - M17286,
,[1/2242],,1873,,,Minutes,,,,M17289 - M17338,
,[1/2243],,1873,,,Legislative Assembly,,,,in bundle 'Legislative Assembly and Council',
,[1/2243],,1873,,,Legislative Council,,,,in bundle 'Legislative Assembly and Council',
,[1/2244],,1873,,,Unnoted,,,,73/221 - 73/10284,
,[1/2245],,1873,,,Unregistered,,,,,
,[1/2246],,1874,,1 - 304,,,,,,
,[1/2247],,1874,,360 - 600,,,,,,
,[1/2248],,1874,,601 - 900,,,,,,
,[1/2249],,1874,,901 - 1200,,,,,,
,[1/2250],,1874,,1201 - 1500,,,,,,
,[1/2251],,1874,,1501 - 1800,,,,,,
,[1/2252],,1874,,1801 - 2100,,,,,,
,[1/2253],,1874,,2101 - 2400,,,,,,
,[1/2254],,1874,,2401 - 2700,,,,,,
,[1/2255],,1874,,2701 - 3000,,,,,,
,[1/2256],,1874,,3001 - 3300,,,,,,
,[1/2257],,1874,,3301 - 3600,,,,,,
,[1/2258],,1874,,3601 - 3900,,,,,,
,[1/2259],,1874,,3901 - 4200,,,,,,
,[1/2260],,1874,,4201 - 4500,,,,,,
,[1/2261],,1874,,4501 - 4800,,,,,,
,[1/2262],,1874,,4801 - 5100,,,,,,
,[1/2263],,1874,,5101 - 5400,,,,,,
,[1/2264],,1874,,5401 - 5700,,,,,,
,[1/2265],,1874,,5701 - 6000,,,,,,
,[1/2266],,1874,,6001 - 6300,,,,,,
,[1/2267],,1874,,6301 - 6600,,,,,,
,[1/2268],,1874,,6601 - 6900,,,,,,
,[1/2269],,1874,,6901 - 7200,,,,,,
,[1/2270],,1874,,7201 - 7500,,,,,,
,[1/2271],,1874,,7501 - 7700,,,,,,
,[1/2272],,1874,,,Despatches,,,,M3025/B - M3150/B,
,[1/2273],,1874,,,Estimates,,,,,
,[1/2274],,1874,,,Elections,,,,,
,[1/2275.1],,1874,,,Applications for employment,,,,,
,[1/2275.2],,1874,,,Incomplete,,,,"Incomplete papers (Noted as with ""Incomplete papers"" in register)",
,[1/2275.3],,1874,,,Minutes,,,,M17345 - M17431,
,[1/2276.1],,1874,,,Prisoners,,,,petitions for mitigation of sentences sent to the Minister of Justice,
,[1/2276.2],,1874,,,Returns of Convictions,,,,- covering letters,
,[1/2277],,1874,,,Legislative Assembly,,,,in bundle 'Legislative Assembly and Council',
,[1/2277],,1874,,,Legislative Council,,,,in bundle 'Legislative Assembly and Council',
,[1/2278],,1874,,,Statutes,,,,,
,[1/2279],,1874,,,Unnoted,,,,"74/73 - 74/7607, including papers on Border Duties Convention",
,[1/2280],,1874,,,Unregistered,,,,,
,[1/2281],,1875,,1 - 300,,,,,,
,[1/2282],,1875,,301 - 600,,,,,,
,[1/2283],,1875,,601 - 900,,,,,,
,[1/2284],,1875,,901 - 1200,,,,,,
,[1/2285],,1875,,1201 - 1500,,,,,,
,[1/2286],,1875,,1501 - 1800,,,,,,
,[1/2287],,1875,,1801 - 2100,,,,,,
,[1/2288],,1875,,2101 - 2400,,,,,,
,[1/2289],,1875,,2401 - 2700,,,,,,
,[1/2290],,1875,,2701 - 3000,,,,,,
,[1/2291],,1875,,3001 - 3300,,,,,,
,[1/2292],,1875,,3301 - 3600,,,,,,
,[1/2293],,1875,,3601 - 3900,,,,,,
,[1/2294],,1875,,3901 - 4200,,,,,,
,[1/2295],,1875,,4201 - 4500,,,,,,
,[1/2296],,1875,,4501 - 4800,,,,,,
,[1/2297],,1875,,4801 - 5100,,,,,,
,[1/2298],,1875,,5101 - 5400,,,,,,
,[1/2299],,1875,,5401 - 5700,,,,,,
,[1/2300],,1875,,5701 - 6000,,,,,,
,[1/2301],,1875,,6001 - 6300,,,,,,
,[1/2302],,1875,,6301 - 6600,,,,,,
