,SURNAME,FIRSTNAME,RESIDENCE,DISTRICT,SITUATION,DATE OF LICENCE,LICENCE,COPY,ITEM,REMARKS,SERIES,
,ABERCROMBIE,C,-,Liverpool Plains,Millerere,30/09/1845,0764,5080,[4/107],,NRS 14363,
,ABERCROMBIE,Charles,-,Liverpool Plains,Junction,30/09/1845,0763,5080,[4/107],,NRS 14363,
,ADAMS,(Messrs),Maitland,Liverpool Plains,Duriade,31/08/1843,0187,5075,[4/101],and COX,NRS 14363,
,ADAMS,Thomas,-,New England,Condamin River (On the),17/12/1841,0579,5072,[4/97],,NRS 14363,
,ADAMS,W E,Maitland (East),Liverpool Plains,Duriade,07/07/1841,0143,5070,[4/95],"and COX, James",NRS 14363,
,ADAMS,W E,Maitland (East),Liverpool Plains,Duriade,22/09/1842,0427,5074,[4/99],"and COX, James",NRS 14363,
,ADAMS,W E,Maitland (East),Liverpool Plains,-,30/09/1840,0492,5070,[4/94],"and COX, James",NRS 14363,
,AIKMAN,-,-,Moreton Bay,Broomelton,24/09/1845,0433,5080,[4/107],and PRIOR,NRS 14363,
,AIKMAN,H H R,-,Moreton Bay,Broomelton,22/03/1845,0841,5078,[4/104],,NRS 14363,
,AIKMAN,H H R,Moreton Bay,Moreton Bay,Broomelton,22/09/1843,0319,5075,[4/101],,NRS 14363,
,AIKMAN,Hugh Henry Robertson,Broomelton,Moreton Bay,Broomelton on the River Logan,23/07/1842,0165,5073,[4/98],,NRS 14363,
,AITKEN,James,Bushby Park,Clarence River,Bushby Park,13/01/1844,0675,5076,[4/100],,NRS 14363,
,AITKEN,James,Bushy Park,Clarence River,Bushy Park,03/09/1845,0135,5079,[4/105],,NRS 14363,
,AITKEN,Thomas,-,Clarence River,Bushby Park,23/09/1844,0342,5077,[4/103],,NRS 14363,
,AITKEN,Thomas,"Sydney, Jamison Street",New England,Severn (The river),25/11/1840,0558,5070,[4/94],,NRS 14363,
,AITKEN,Thomas (MA),Sydney,Clarence River,Bushy Park,19/09/1842,0408,5074,[4/99],nm (MA)?,NRS 14363,
,AITKEN,Thomas (MA),Sydney,Port Macquarie,Clarence River,18/09/1841,0422,5072,[4/97],,NRS 14363,
,AITKEN,Thomas A (MA),"Sydney, Samson Street Australian College, Samson Street",Port Macquarie,Clarence River,01/10/1840,0511,5070,[4/94],,NRS 14363,
,ALCORN,(Messrs),Glenmore,New England,Glenmore,12/08/1844,0127,5077,[4/103],and BROWN,NRS 14363,
,ALCORN,-,Byron Plains,New England,Glenmore,08/08/1845,0012,5079,[4/105],and BROWN,NRS 14363,
,ALCORN,Edward,Patricks Plains,New England,Glenmore,19/08/1843,0135,5075,[4/101],"and BROWN, John",NRS 14363,
,ALDERSON,-,-,Clarence River,Brush Grove,24/09/1845,0438,5080,[4/107],and JOHNSON,NRS 14363,
,ALDRIDGE,E T,-,McLeay River,Scotch Town,29/08/1845,0101,5079,[4/105],,NRS 14363,
,ALEXANDER,(Messrs),Sydney,Liverpool Plains,Hoblers Station on the Namoi River,02/08/1843,0076,5075,[4/101],and GILCHRIST; Other names mentioned: HOBLER (Station),NRS 14363,
,ALEXANDER,-,-,Liverpool Plains,Weea Waa,30/09/1845,0717,5080,[4/107],and GILCHRIST,NRS 14363,
,ALEXANDER,-,-,Liverpool Plains,Weeata Waa,30/09/1845,0716,5080,[4/107],and GILCHRIST,NRS 14363,
,ALEXANDER,-,-,Murrumbidgee,Moroco,11/09/1845,0189,5079,[4/105],and REDFERN,NRS 14363,
,ALEXANDER,-,-,Liverpool Plains,Hobler's Station Namoi River,28/09/1844,0449,5078,[4/102],and GILCHRIST; Other names mentioned: HOBLER (Station),NRS 14363,
,ALEXANDER,-,-,New England,Ravenswood,19/12/1844,0769,5078,[4/102],and LAWSON,NRS 14363,
,ALEXANDER,-,Stoney Creek,New England,Ravenswood,09/05/1842,0724,5071,[4/96],and LAWSON,NRS 14363,
,ALEXANDER,-,Stoney Creek,New England,Ravenswood,09/05/1842,0671,5071,[4/96],and LAWSON,NRS 14363,
,ALEXANDER,J,-,Wellington,Molong Nyrang,25/10/1845,0989,5081,[4/106],"and ALEXANDER, S",NRS 14363,
,ALEXANDER,J,-,Wellington,Molong Nyrang,14/12/1844,0758,5078,[4/102],"and ALEXANDER, S",NRS 14363,
,ALEXANDER,S,-,Wellington,Molong Nyrang,14/12/1844,0758,5078,[4/102],"and ALEXANDER, J",NRS 14363,
,ALEXANDER,S,-,Wellington,Molong Nyrang,25/10/1845,0989,5081,[4/106],"and ALEXANDER, J",NRS 14363,
,ALISON,(Messrs),Snowy River,Maneroo,"Numbla, near the Snowy River",03/04/1843,0715,5074,[4/99],and HAYGARTH,NRS 14363,
,ALISON,R L (Mr),Numbla,Maneroo,Numbla,30/09/1843,0546,5076,[4/100],"and HAYGARTH, W H",NRS 14363,
,ALLAN,John M,Murrumbidgee,Murrumbidgee,Tomorroma,23/07/1839,0199,5068,[4/92],,NRS 14363,
,ALLAN,John McMahon,Tomorroma,Murrumbidgee,Tomorroma Swamp,25/06/1840,0042,5069,[4/93],,NRS 14363,
,ALLEN,John,Windsor,Liverpool Plains,Gunnadala on the Mooki River,01/07/1841,0095,5070,[4/95],,NRS 14363,
,ALLEN,John,Windsor,Liverpool Plains,Gunnadala on the Mooki River,01/07/1842,0079,5073,[4/98],,NRS 14363,
,ALLEN,John,Windsor,Liverpool Plains,Gunnadalee on the Mokai river,07/01/1841,0566,5070,[4/94],,NRS 14363,
,ALLEN,John,Windsor,Liverpool Plains,Gunnade?ly,04/03/1840,0583,5069,[4/93],,NRS 14363,
,ALLEN,John,-,Liverpool Plains,Gunnandilly,09/10/1845,0932,5081,[4/106],,NRS 14363,
,ALLEN,John,Gunnandilly,Liverpool Plains,Gunnandilly,18/07/1843,0046,5075,[4/101],,NRS 14363,
,ALLEN,John,Windsor,Liverpool Plains,Gunnandilly,22/08/1844,0167,5077,[4/103],,NRS 14363,
,ALLEYNE,R J,Maneroo,Maneroo,Cowra,20/04/1843,0726,5074,[4/99],,NRS 14363,
,ALLISON,William,-,Liverpool Plains,Bando Plains,23/09/1844,0354,5077,[4/103],or ALISON,NRS 14363,
,ALLISON,William,-,Liverpool Plains,Bando Plains,07/01/1846,1124,5081,[4/106],or ALISON,NRS 14363,
,ALLMAN,Francis,Campbelltown,New England,Northern,27/06/1838,0245,5067,[4/91],Posted to him,NRS 14363,
,ALLMAN,Frank,Muscle Brook,New England,Northern Limits (Beyond the),15/07/1839,0145,5068,[4/92],"and ALLMAN, John",NRS 14363,
,ALLMAN,John,New England,New England,Northern,20/02/1837,0251,5067,[4/91],"and POWELL, N S",NRS 14363,
,ALLMAN,John,Muscle Brook,New England,Northern Limits (Beyond the),15/07/1839,0145,5068,[4/92],"and ALLMAN, Frank",NRS 14363,
,AMBRIDGE,G,Bringelly,Gobolong Plains,Southern,14/01/1837,0085,GvtG,,,NRS 14363,
,AMBRIDGE,George,Yass,Yass,Southern,08/03/1838,0051,5067,[4/91],"Other names mentioned: AMBRIDGE, George (Mr)",NRS 14363,
,ANDERSON,(Messrs),New England,New England,"Newstead, Byron Plains",18/10/1841,0557,5072,[4/97],and SINCLAIR,NRS 14363,
,ANDERSON,(Messrs),New England,New England,"Newstead, Byron Plains",02/07/1842,0088,5073,[4/98],and SINCLAIR,NRS 14363,
,ANDERSON,-,-,New England,Newstead,30/09/1844,0560,5078,[4/102],and SINCLAIR,NRS 14363,
,ANDERSON,-,Newstead,New England,Newstead,12/07/1843,0036,5075,[4/101],and SINCLAIR,NRS 14363,
,ANDERSON,-,-,Murrumbidgee,Ganzack,05/12/1845,1076,5081,[4/106],and GIBBONS,NRS 14363,
,ANDERSON,Alexander,"Allandale, Merton",Liverpool Plains,Gwydir River (On the),30/09/1841,0515,5072,[4/97],,NRS 14363,
,ANDERSON,Alexander,"Allandale, Merton",Liverpool Plains,Gwydir River (On),28/08/1840,0315,5070,[4/94],,NRS 14363,
,ANDERSON,Alexander,Allandale,Liverpool Plains,North West District,10/07/1839,0111,5068,[4/92],,NRS 14363,
,ANDERSON,Colin Alexander,-,New England,Newstead,25/09/1845,0470,5080,[4/107],,NRS 14363,
,ANDERSON,Francis,Tumut,Murrumbidgee,Tumut,24/06/1845,0885,5078,[4/104],,NRS 14363,
,ANDERSON,M,Parramatta,St Vincent,Southern,28/01/1837,0173,GvtG,,,NRS 14363,
,ANDERSON,M,Parramatta,Murray River,South Western,26/06/1838,0232,5067,[4/91],,NRS 14363,
,ANDERSON,Mathew,"Redesdale, County Murray",Murrumbidgee,Borow on Murrumbidgee River,27/08/1840,0303,5070,[4/94],,NRS 14363,
,ANDERSON,Matthew,Parramatta,Murrumbidgee,-,06/03/1840,0585,5069,[4/93],,NRS 14363,
,ANDREWS,Joseph,-,Lachlan,Gundagai,03/09/1845,0137,5079,[4/105],,NRS 14363,
,ANDREWS,Joseph,Gundagai,Lachlan,Gundagai,24/02/1844,0707,5076,[4/100],,NRS 14363,
,ANDREWS,Joseph,Gundagai,Lachlan,Gundagai,16/07/1842,0140,5073,[4/98],Issued as 141,NRS 14363,
,ANDREWS,Joseph,Gundagai,Lachlan,Gundagai,16/08/1841,0310,5072,[4/97],,NRS 14363,
,ANDREWS,Joseph,Gundigee,Lachlan,Gundigee,14/09/1840,0343,5070,[4/94],,NRS 14363,
,ANDREWS,Joseph,-,Lachlan,-,28/09/1844,0495,5078,[4/102],,NRS 14363,
