Surname,FirstName,Item,Date,Locality,Previous System No,Reel
Abbott,-,306,1828,"Survey of Coast North Shore (Sydney Harbour) Wm. Blue, J. Wallis, Thrupp and Siddons land; Darling Harbour, Neutral Bay, Watsons Bay &c. Ryans 120 acres. ParishWilloughby, County Cumberland.",[2/4938],2627
Abbott,-,311,1829,"Survey of farms, features &c. adjacent to the Hunter River Goulburn R. &c.Counties Brisbane and Hunter.",[2/4941],2627
Abbott,-,362,1831,"Survey of Farms in Parishes of Castlereagh, Field of Mars and Willoughby. Allotments. Church and School Lands. Public Buildings &c. at Parramatta, Richmond, Windsor, Liverpool and Pitt Town - County Cumberland. Church and School Lands. Parish of Wilberfor",[2/4989],-
Abbott,-,363,1831,Survey of Road through the Parish of Mulgoa - Richmond Road. Farms &c. Parish Prospect &c. County Cumberland.,[2/4990],-
Abbott,J,321,1829,"Survey of farms in parish Merriwa and other parishes. Traverse of Dart Brook, Creeks, tracks, & Mountain Ranges - County Brisbane. Farms, Muscle and other Creeks &c. County Durham.",[2/4951],2628
Abbott,J,373,1832,"Survey of Forbes, Inness and Woods Farms; Features &c. Near Emu Plains and Nepean River - Counties of Cook and Cumberland.",[2/4998],-
Arnheim,-,890,1860,Survey of Road from Goulburn (County Argyle) towards Wheoo in County King.,[2/8089.6],-
Arnheim,-,891,1860,"Survey of Farms in Parishes of Terrana, Tarago, Currowang, Mulwaree &c. Traverse of Nerrumunga and other Creeks &c. Marking South Side of Rankin's Road - Connections &c. County Argyle.",[2/8089.7],-
Arnheim,-,892,1860,"Survey of Farms in Parishes of Pomeroy, Mummell, Baw Baw, Towrang, and Wayo. Traverse of Bungonia Road - Connections, Tracks &c. - County of Argyle.",[2/8089.8],-
Arnheim,-,894,1860,"Survey of Farms in Parishes of Mutmutbilly, Towrang, Tarrago, Collector, Wingello, Uringalla, Eden Forest, Cookbundoon, Bungonia, Nerrimunga and Oalle. Traverse of Nerrimunga Creek, Connections &c. County of Argyle.",[2/8089.9],-
Arnheim,-,895,1860,"Survey of Farms in Parishs of Uringalla, Eden, Forest Cookbundoon &c. Traverse of Wollondilly River; Tracks, Creeks, Connections &c. - County of Argyle.",[2/8089.10],-
