,Place,Description,Date,Copy,Page,Citation,Remarks,RecordType,
,-,Roads. Botany Bay Road,1870-71,-,-,4332 [2/615],-,"Appendix A: Correspondence, c.1837-96",
,-,Great Exhibition. Collection of specimens,"1862, 1861",-,-,4332 [2/585],-,"Appendix A: Correspondence, c.1837-96",
,-,"“Catherine Adamson”, Clipper. Memorial",1857-58,-,-,4332 [2/642A],-,"Appendix A: Correspondence, c.1837-96",
,-,Roads. General Bundle,"1851, 1855, 1857",-,-,4332 [2/647],-,"Appendix A: Correspondence, c.1837-96",
,-,"Grose Farm. Paddocks, fencing and Maps of Parramatta Road",-,-,-,4332 [2/642A],-,"Appendix A: Correspondence, c.1837-96",
,-,"“Dunbar”, Ship. Memorial and List of crew and passengers lost",1857-58,-,-,4332 [2/642A],-,"Appendix A: Correspondence, c.1837-96",
,-,Roads. North Shore Roads,1870-71,-,-,4332 [2/615],-,"Appendix A: Correspondence, c.1837-96",
,-,Grose Farm. Toll House,1858-60,-,-,4332 [2/642A],-,"Appendix A: Correspondence, c.1837-96",
,-,"“Harmony”, Ship. Quarantine Ship",1853-58,-,-,4332 [2/646],-,"Appendix A: Correspondence, c.1837-96",
,-,Stores,-,-,-,-,see under the names of specific streets eg. George Street,"Appendix A: Correspondence, c.1837-96",
,-,"Solitary Cells, Design (from the Designs of Public Buildings series)",1837,Reel 2660,-,4334 [X694],-,"Appendix C: Designs of public buildings, 1837",
,-,Roads. Northern Roads,1852-58,-,-,4332 [2/614],-,"Appendix A: Correspondence, c.1837-96",
,-,Illumination. Prince of Wales’ marriage; reception of H.R.H. Duke of Edinburgh,"1856, 1863-68",-,-,4332 [2/598],-,"Appendix A: Correspondence, c.1837-96",
,-,"“Trial”, Cutter",-,-,-,4332 [2/614],-,"Appendix A: Correspondence, c.1837-96",
,-,Conservatorium of Music,-,-,-,-,see Government House and Stables,"Appendix A: Correspondence, c.1837-96",
,-,Roads. Road to South Head and resumption of the Point Piper Estate,1848,-,-,4332 [2/636],-,"Appendix A: Correspondence, c.1837-96",
,-,"Watch Houses. General bundle, Sydney",1855-58,-,-,4332 [2/645],see also Watch Houses under the names of specific towns eg. Dubbo; Gosford,"Appendix A: Correspondence, c.1837-96",
,-,"Inch, J.A. Estate of",1851,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,-,"“Victoria”, Steam Dredge",1857-58,-,-,4332 [2/625],-,"Appendix A: Correspondence, c.1837-96",
