Date,Surname,FirstName,Station,Description,Citation,Remarks
,,,,Letter,NRS 905 [4/10801.2],Other names: Rachael Bifield.
,,,,Letter,NRS 905 [4/10801.2],Other names: Thomas Robinson.
,,,,Statements re Agricultural Establishment at Port Macqarie,NRS 905 [4/10801.3],
,,,,Statements re Agricultural Establishment at Port Macqarie,NRS 905 [4/10801.3],Other names: W S Kershaw.
1826,,,,Letter from Ellen Holmes date 16 March 1826,NRS 905 [4/10801.5],Other names:  Bifield.
1826,,,,Letter from Ellen Holmes date 16 March 1826,NRS 905 [4/10801.5],Other names: Rachael Robinson.
1826,,,,Letter from Ellen Holmes date 16 March 1826,NRS 905 [4/10801.5],Other names: Thomas Kershaw.
1826,,,,Letter from Ellen Holmes date 16 March 1826,NRS 905 [4/10801.5],Other names: John .
1826,,,,Letter from Ellen Holmes date 16 March 1826,NRS 905 [4/10801.5],Other names: George Holmes.
1826,,,,Letter from Ellen Holmes date 16 March 1826,NRS 905 [4/10801.5],Other names: Ellen Bevan.
1826,,,,Petition of Mark Bifield Byfield 7 March 1826,NRS 905 [4/10801.5],Other names: W S Parker.
1826,,,,Petition of Mark Bifield Byfield 7 March 1826,NRS 905 [4/10801.5],Other names:  Holmes.
1840,,,Gumby,Itinerary of John J Allman Counties of Bathurst and Wellington,NRS 905 [4/10803.1]; Page 1,Other names:  Jones.
August 1839,,,,Itineraries of  Henry Fysche Gisborne 30 Aug - 26 Dec 1839 Geelong and Lines of Road To Portland Bay,NRS 905 [4/10803.3]; Page 1,Other names: John Holmes.
August 1839,,,,Itineraries of  Henry Fysche Gisborne 30 Aug - 26 Dec 1839 Geelong and Lines of Road To Portland Bay,NRS 905 [4/10803.3]; Page 1,Other names: George Bevan.
August 1839,,,Police Barracks,Itinerary of the Commissioner of Crown Lands Port Phillip Henry Fysche Gisborne 28 Jan-18 Feb 1840,NRS 905 [4/10803.4]; Page 1,Superintendent: Corp Whitnell.
1842,,,Garan Gan,Frederick Armand Powlett Commissioner of Crown Lands Western Port Counties Bourke Called Western Port,"NRS 906 [X817]; Reel 2748-2749, Page 58",Superintendent:  Batho.
,,,,A Return of Machanics and of his employees  Her Majestys dock yard Sydney showing the number of each days that are at present employees and the number that could be permantly employed,NRS 905 [4/1080.1],Other names: Ellen Holmes.
,,,,Return of Mechanics,NRS 905 [4/1080.3],Other names: Parker .
