Surname,Firstname,NRS,Box number,Full Name,Year appointed silk,Date of correspondence,Digital ID,Archives Investigator link
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,17 Mar 1916,NRS302_333_a127_10_42918_[13]_00002a,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,17 Mar 1916,NRS302_333_a127_10_42918_[13]_00002b,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,09 Mar 1916,NRS302_333_a127_10_42918_[13]_00003a,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,09 Mar 1916,NRS302_333_a127_10_42918_[13]_00003b,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,09 Mar 1916,NRS302_333_a127_10_42918_[13]_00004a,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,09 Mar 1916,NRS302_333_a127_10_42918_[13]_00004b,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,16 Mar 1916,NRS302_333_a127_10_42918_[13]_00005,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,17 Mar 1916,NRS302_333_a127_10_42918_[13]_00006,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,07 Mar 1916,NRS302_333_a127_10_42918_[13]_00007,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,07 Mar 1916,NRS302_333_a127_10_42918_[13]_00008,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,07 Mar 1916,NRS302_333_a127_10_42918_[13]_00009,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,01 Jan 1916,NRS302_333_a127_10_42918_[13]_00010,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,08 Mar 1916,NRS302_333_a127_10_42918_[13]_00012,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,07 Mar 1916,NRS302_333_a127_10_42918_[13]_00013,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,17 Feb 1916,NRS302_333_a127_10_42918_[13]_00017,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,14 Feb 1916,NRS302_333_a127_10_42918_[13]_00020,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,09 Feb 1916,NRS302_333_a127_10_42918_[13]_00022,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,09 Feb 1916,NRS302_333_a127_10_42918_[13]_00023,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,07 Feb 1916,NRS302_333_a127_10_42918_[13]_00024,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,09 Feb 1916,NRS302_333_a127_10_42918_[13]_00025,
 Innes,Reginald Heath Long,NRS302_333,10/42918,Reginald Heath Long Innes,1916,01 Jan 1916,NRS302_333_a127_10_42918_[13]_00026,
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,14 Feb 1916,NRS302_333_a127_10_42918_[13]_00021,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\17 
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,31 Mar 1913,NRS302_333_a127_10_42918_[12]_00001,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\17 
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,28 Dec 1903,NRS302_333_a127_10_42918_[03]_00001,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\17 
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,26 Dec 1903,NRS302_333_a127_10_42918_[03]_00002,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\17 
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,30 Dec 1903,NRS302_333_a127_10_42918_[03]_00003,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\17 
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,04 Jan 1904,NRS302_333_a127_10_42918_[03]_00004a,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\17 
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,04 Jan 1904,NRS302_333_a127_10_42918_[03]_00004b,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\17 
