Surname,Firstname,NRS,Box number,Folder number,Full Name,Year appointed silk,Date of correspondence,file number,page number,Digital ID,Archives Investigator link,Digital ID url
,,NRS302_333,10/42917B,[42],King's Counsel 1942-1946,,01 Mar 1946,GAC.KD.46/1565.AGB,22,NRS302_333_a127_10_42917_[42]_00022,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[42]_00022
,,NRS302_333,10/42918,[13],Calender 1915,,01 Apr 1915,,1,NRS302_333_a127_10_42918_[13]_00001,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[13]_00001
,,NRS302_333,10/42918,[13],The Sunday Sun,,20 Feb 1916,,19,NRS302_333_a127_10_42918_[13]_00019,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[13]_00019
,,NRS302_333,10/42918,[7],Respecting Appointments of King's Counsel Attorney General New Zealand,,01 May 1907,7/3017,1,NRS302_333_a127_10_42918_[07]_00001,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[07]_00001
,,NRS302_333,10/42918,[5],Receipt of a list of King's Counsel,,07 Jun 1905,5/8330,1,NRS302_333_a127_10_42918_[05]_00001,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[05]_00001
,,NRS302_333,10/42918,[4],Resolutions passed having reference to the appointment of King's Counsel,,24 Feb 1904,4/1471,1,NRS302_333_a127_10_42918_[04]_00001,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[04]_00001
,,NRS302_333,10/42918,[7],Note re removal of papers,,,4/2788 04/3399,2,NRS302_333_a127_10_42918_[07]_00002,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[07]_00002
,,NRS302_333,10/42918,[6],Resolutions passed Council of the Bar,,19 Feb 1904,,2,NRS302_333_a127_10_42918_[06]_00002,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[06]_00002
,,NRS302_333,10/42918,[4],Resolutions passed having reference to the appointment of King's Counsel,,19 Feb 1904,4/1471,2,NRS302_333_a127_10_42918_[04]_00002,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[04]_00002
,,NRS302_333,10/42918,[7],List of papers on file,,01 Jan 1907,,3,NRS302_333_a127_10_42918_[07]_00003,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42918_[07]_00003
,,NRS302_333,10/42917A,[8],Appointment of King's Counsel 1931 - request for information,,11 Sep 1931,31/6991,,NRS302_333_a127_10_42917_[08]_00001a,,https://www.records.nsw.gov.au/index_image/NRS302_333_a127_10_42917_[08]_00001a
