SA Item,SG Map,Area,Firstname,Surname,Date,Description,Remarks
[2674],E.3.1083,Essington,-,(HMS Beagle Officers),1839,"(Victoria River). Scale about 8 miles to an inch, sketch map of Victoria River showing character of country in vicinity of River north west coast of Australia by the officers of HMS Beagle 1839 - also copy of above not catalogued",2 of 2
[2673],E.3.1083,Essington,-,(HMS Beagle Officers),1839,"(Victoria River). Scale about 8 miles to an inch, sketch map of Victoria River showing character of country in vicinity of River north west coast of Australia by the officers of HMS Beagle 1839 - also copy of above not catalogued",1 of 2
[2683],E.12.1083,Essington,-,(HMS Beagle),1839,"Plan of the Adelaide River - near Port Essington North Australia HMS Beagle 1839 also copy of above by Thomas M Nutt, Nov 1843",1 of 2
[2684],E.12.1083,Essington,-,(HMS Beagle),1843,"Plan of the Adelaide River - near Port Essington North Australia HMS Beagle 1839 also copy of above by Thomas M Nutt, Nov 1843",2 of 2
[5617],S.5.1033,-,-,(possibly Finch),c.1840,"Tracing mounted on drawing paper showing the coast from Port Macquarie north to the Richmond River, also Hastings & Gipps (Clarence) Rivers & the position of Finch's Hut 1/1/38 (apparently on what is now known as the Dorrigo Plateau. Scale about 10 Miles ",
[5037],R.727,Roads,-,-,-,"Plan of direct road from Sydney to Illawarra - drawn by Davidson, Aug 1831 - original marking probably by Mitchell",
[3391],(To be kept with L.1307),Liverpool Plains,-,-,1855-56,Compilation of parts of the County of Buckland.Reducation made by Mr McGann in 1855 orthe early part of 1856,
[3827],M.1009d,Mudgee,-,-,1863,"Plan of the town. Lithograph for officeuse, cancelled 1893",
[5324],R.1b.1585,Road,-,-,-,Tracing part of above road from M.73.831 - through Cathcart about same time as R.1A.1585.Hibbard's Inn shown,
[3514],L.38.1634,Lithographs,-,-,,"21 lithographs of maps of various parts of New Zealand. Published at Surveyor General's Office, Wellington, New Zealand",6 of 20 (L.51.1634 not held)
[2971],H.177,Hawkesbury,-,-,nd,"Sketch in pencil of farms of Forrester, McKenzie etc.",
[2494],D.367,Durham (County),-,-,-,"Grants at junction of Dart Brook and Hunter River - and Kingdon Ponds - County Durham, not dated and no Surveyor's name",
[5188],R.1013a,Road,-,-,,"Plans of parts R.1013 above.Plans left by Mr Townsend, Surveyor, prior to his departure for England in 1854",4 of 7 sheets
[5662],S.8.1267,Squatting District,-,-,nd,"Squatting District Features.Darling River & tributaries upwards between Fort Bourke, McIntyre (or Karaulla) River's junction with Severn, & Gwydir River to Horton Creek",
[1718],C.440,Cumberland (County),-,-,-,Skeleton map of County Cumberland not dated.,
[2213],C.760,Cumberland (County),-,-,-,County Cumberland skeleton map with reference re grant names - early but no date,
[SZ503],V.27.502,St Vincent (County),-,-,-,"Trace of Range and Creek, tributary of Clyde, to Willinga Point",
[3502],L.25.1634,Lithographs,-,-,nd,"Lithograph Newington Estate, Parish St John, Parramatta, for sale, 9 Nov 1877",3 of 3 plans
[5910],W.5?,-,-,-,nd,"Survey of part of Gruingegaba and Goobang Creeks, County of Ashburnham",
[2675],E.5.1083,Essington,-,-,1827,"Essington (Melville Island).The British Settlement of Fort Dundas 7 Melville Island.Also a chart of Apsley Straits between Melville & Bathurst Islands, with sketch showing appearance of the coast at Entrance to Straits from a distance of 6 miles at se",
[4600],N.11a.1402,New England District,-,-,nd,"Plan of Clifton and Tenterfield Runs, County Clive",1 of 2
[3477],(To be kept with L.1.1634),Lithographs (Stroud),-,-,1869,Tracing of the boundaries of the Town of Stroud on the Estate of the Australian Agricultural Company,
[5696A],To be kept with S.1451,Sydney,-,-,nd,Unfinished plan showing the layout of streets and allotments around Wooloomooloo Bay,1 of 2 sheets
[3515],L.39.1634,Lithographs,-,-,,"21 lithographs of maps of various parts of New Zealand. Published at Surveyor General's Office, Wellington, New Zealand",7 of 20 (L.51.1634 not held)
[5280],R.4.1231,-,-,-,-,Missing,
[2436],C.1919,Currathool,-,-,-,"Plan of the Village of Currathool, Parish Currathool, County Stuart",
[2496],D.1-.2.602 ['1' only],-,-,-,-,Ranges County Roxburgh near Cullen Bullen Wallerawang Road,
[3631],M.583a,Maitland,-,-,1829,"Town plan, as approved by Governor",
[5189],R.1013a,Road,-,-,,"Plans of parts R.1013 above.Plans left by Mr Townsend, Surveyor, prior to his departure for England in 1854",5 of 7 sheets
[3082],H.971,Howell's Creek,-,-,nd,Sketch showing Boorowa River and Howell's Creek from source to the Lachlan River,
[2307],C.2.1197,Clarence River,-,-,-,Copy of C.1.1197,
[2901],G.1903b,Goodradigbee,-,-,1866,Lithograph for office use,
[1251],A.1886,Apsley,-,-,-,"Plan of the Parishes of Apsley, Oakley and Ponsonby being a point of the Clergy and School Estates in the County of Bathurst",4 of 6
[1343],B.3.558,Bundiandor Creek,-,-,1828,"NB: These 3 plans are tracings of tributaries of Wollondilly River, Govett.Scale about 1 mile to an inch. 1.Bundiandor Ck to source at Mt Wayo, & eastern branches; 2. Upper branch Cookbundoon River from Mt Sugarloaf to source; 3. Survey part Cookbundo",3 of 3
[2402],C.1772.b,Conargo,-,-,1864,"Town Conargo, S.G.O. 1864.Cancelled 19.12.83",
[4633],N.5.1654,New South Wales,-,-,1885,"Map of the amended Divisional Boundaries of NSW, proclaimed 5 Aug 1885.Shows the geographical divisions in accordance with the Lands Act of 1884",
[1199],A.1040 pt,Albury,-,-,1921,"Notation plan, Allotments. 2 & 3 Section 2",
[2225],C.2-.6.901,Census Districts,-,-,1833,"(County Cumberland) Showing the various Census districts of the Co.Cumberland 1833 viz. Parramatta, Liverpool, Campbelltown, Windsor and Penrith respectively. Scale 2 miles to an inch.",5 of 5
[5145],R.14a.902,Roads (Hunter River),-,-,Feb 1856,"Plan of the Parish Road from Dungog to Fosterton, along the westbank of the River William.This is a copy of the original map by MacLeay",
[3500],L.25.1634 (?),Lithographs,-,-,nd,"(Kissing Point)Part of the Sugar Works Estate, on the Parramatta River",
[1631],B.2120,Beauly,-,-,1873,Plan of Village of Beauly.Used for record purposes until withdrawn 30 Oct 1889,
[5327],R.3.1585,Road,-,-,-,Parts of the above road same date.(Parts C& E),1 of 2 sheets
[3516],L.40.1634,Lithographs,-,-,,"21 lithographs of maps of various parts of New Zealand. Published at Surveyor General's Office, Wellington, New Zealand",8 of 20 (L.51.1634 not held)
[1732],C.1.468,"Cavalle Islands, New Zealand",-,-,1820,"Chart of the Cavalle Islands, off the coast of the North Island of New Zealand, with soundings (on both sides of sheet)",
[2550],D.18.1321,Lower Darling,-,-,-,Lower Darling Squatting District.Similar to D.16.1321 but reserves numbered,1 of 2
[3632],M.583b,Maitland,-,-,1829,Copy of M.583a - Plan of Maitland with sections etc. as approved by Governor,
[5190],R.1013a,Road,-,-,,"Plans of parts R.1013 above.Plans left by Mr Townsend, Surveyor, prior to his departure for England in 1854",6 of 7 sheets
[2813],G.1028,Gundagai,-,-,"1840,1845, 1850","Village design plans; one copied by Bland, Jul 1840; one dated 1845; one by Larmer 1850, and copy of same",2 of 4
[3497],L.23.1634,Lithographs,-,-,nd,"Lithograph Plan of Village of Camden, County Camden.Churches shown",
[1463],B.1136a,Bowens Hollow,-,-,1840,Plan of the town at Bowen's Hollow.To be kept with B.1136a,2 of 4
[1253],A.1886,Apsley,-,-,-,"Plan of the Parishes of Apsley, Oakley and Ponsonby being a point of the Clergy and School Estates in the County of Bathurst",6 of 6
[5921],W.616,Wollombi Brook,-,-,nd,"Plan showing grants from Maitland North to Wollombi Brook & Sugar Loaf Creek.Parishes Broke, Vere, Ovingham, Rothbury, Allandale and others; & West to East Macquarie",
[1173],A.758,-,-,-,nd,Unidentified and incomplete plan,
[6071],W.1726a,Woolomin,-,-,1859,"Design for Village of Woolomin, Liverpool Plains District",
[4634],N.6.1654,New South Wales,-,-,1885?,Map of New South Wales showing Land Districts amended by the Gazette Notice of 3 Aug 1885,
[2230],C.925,-,-,-,-,Part of western Road and road travelling off that road,
[3188],J.1861,Judges & Registries District,-,-,-,"Map of New South Wales showing the division of the Colony under the District Courts Act, 22 Vic/ 58, 12/11/58",
[1566],B.1786,Bowna,-,-,1862,"Plan of sections at Bowna Village Reserve, Parish Bowna, County Goulburn",
[3517],L.41.1634,Lithographs,-,-,,"21 lithographs of maps of various parts of New Zealand. Published at Surveyor General's Office, Wellington, New Zealand",9 of 20 (L.51.1634 not held)
[1732],C.2.468,"Cavalle Islands, New Zealand",-,-,1820,"Chart of part of the Whangaroa coastline, showing the Cavalle Islands (C.1.468 & C.2.468 were probably from surveys by Richard Skinner, Master, HM Storeship Dromedary, in 1820)",
[2438],C.1920,Carrawa,-,-,1860,Proposed design for Village of Carrawa,
[1517],B.1396a(1),Boorowa,-,-,1850,"Plan of village of Boorowa, County King transmitted to Mr Mann (Licensed Surveyor) for the use of the Licensed Surveyor of the district",
[5191],R.1013a,Road,-,-,,"Plans of parts R.1013 above.Plans left by Mr Townsend, Surveyor, prior to his departure for England in 1854",7 of 7 sheets
[1194],A.4.1020,Australian Agricultural Company,-,-,nd,Plan of the Australian Agricultural Company's selection near Port Stephens.Transmitted in CSL about beginning of 1844. Also a sketch of portion of the east coast showing position of the Broughton Islands,
[1307],B.356,Bringelly,-,-,nd,Survey line along river,
[2314],C.2.1273,(Counties),-,-,-,Map of surveys of the country extending from County Macquarie (New South Wales) to Moreton Bay (Queensland) showing proposed division into counties accompanying report by TL Mitchell of 27 Nov 1845 & laid before Executive Council 15 Jun 1847,
[2903],G.1935 (2),Gol Gol,-,-,1865,Tracing of Plan of the town,
[3482],L.8.1634,Lithographs,-,-,1857,"Lithograph of Australian Agricultural Company Estate Newcastle, showing railways at theHarbour",
[5468],S.779,Stream,-,-,nd,Survey of unknown stream and small road (very faint),
[2310],C.1230,Cumberland (County),-,-,-,"Plan of 21,960 acres, Parish Cowan, County Cumberland & School Est. between Cowan, Berowra Creeks & Hawkesbury River.Not dated",
[5283],R.9.1231,Roads (Woronora),-,-,nd,Pencil sketch of crossing place at George's River (very faint),
[4643],N.1846.a,Narrabeen (Parish),-,-,Dec 1886,Lithograph copy of map of the Parish of Narrabeen showing land holdings,
[791],A.1040.f,Albury,-,-,1884,"Mounted Lithograph for office use. ""Put in office use on 8 Apr 1884"" (Catalogue)",2 of 2 sheets
[SZ509],V.1.515,St Vincent (County),-,-,1822,"Sketch map (scale 1 mile to an inch) showing part of Shoalhaven River from Meehan's survey; & Crookhaven Inlet by William L Edwardson of HM Cutter Snapper, with sailing directions for entering Crookhaven Inlet",
[2681],E.10.1083,Essington,-,-,1827?,"Rough sketches showing north coast of Australia from Melville Island to Gulf of Carpentaria (Not dated or signed) appears to have been executed about 1827 probably by the staff of ""Fort Dundas"" see E.5.1083",2 of 3
[5915],W.101C,Wollombi,-,-,1849,Town of Wollombi,
[3587],L.1933,Long Bay,-,-,1851,"Lithograph, approved, in general use",
[3518],L.42.1634,Lithographs,-,-,,"21 lithographs of maps of various parts of New Zealand. Published at Surveyor General's Office, Wellington, New Zealand",10 of 20 (L.51.1634 not held)
[1733],C.472,Chart (Wangaroa Harbour),-,-,1834,"Wangaroa Harbour, North Island of New Zealand, with soundings (probably from surveys by Lieutenant T Woore, HMS Alligator & FA Cudlip, HMS Buffalo, in 1834)",
[5623],S.1161.a,Sydney,-,-,nd,"Tracing of S.1161, showing Metropolitan Sewerage District",1 of 2 sheets
[4670],O.405,Oakley,-,-,nd,"Parish of Oakley, County Bathurst - no date but appears original",
[6026],W.1340 (2),Wagga Wagga,-,-,nd,Plan showing the environs of Wagga Wagga,
[3499],L.25.1634,Lithographs,-,-,1877?,"Lithograph Newington Estate, Parish St John, Parramatta, for sale, 9 Nov 1877",1 of 3 plans
[3483],L.9.1634,Lithographs,-,-,1859,Lithograph of Old and New Goulburn,
