Surname,FirstName,Hotel,Locality,Year,Day/Month,License,Citation,Remarks
-,William,-,-,1853,-,0722,NRS 14403 [4/85]; Reel 5064,damaged page - partly torn from book
AARON,Joseph,"Emu Inn, The","George Street, Sydney; George and Bathurst Streets, 1836-",1831,29 June,0029,NRS 14401 [4/62]; Reel 5049,or AARONS
AARON,Joseph,"Emu Inn, The","George Street, Sydney; George and Bathurst Streets, 1836-",1833,16 July,0352,NRS 14401 [4/64]; Reel 5051,or AARONS
AARON,Joseph,"Emu Inn, The","George Street, Sydney; George and Bathurst Streets, 1836-",1832,11 July,0286,NRS 14401 [4/63]; Reel 5050,or AARONS
AARONS,Joseph,"Emu Inn, The","George Street, Sydney; George and Bathurst Streets, 1836-",1830,3 July,0162,NRS 14401 [4/61]; Reel 5049,or AARON
AARONS,Joseph,"White Horse Inn, The","George Street, Bathurst",1853,19 April,0214,NRS 14403 [4/84]; Reel 5063,
ABBOTT,James,"Maitland Hotel, The",West Maitland,1858,20 April,0736,NRS 14403 [7/1510]; Reel 1240,
ABBOTT,Samuel,"Redfern Inn, The","York Street, Sydney",1853,28 April,0559,NRS 14403 [4/85]; Reel 5064,
ABBOTT,Thomas,"Haydonton Inn, The","Haydonton, District of Murrurundi",1860,17 April,0721,NRS 14403 [7/1513]; Reel 1242,
ABEL,Christian,"Bee Hive, The","Cumberland Street, Sydney; Argyle Street, 1834",1834,2 July,0190,NRS 14401 [4/65]; Reel 5052,
ABEL,Christian,"Bee Hive, The","Cumberland Street, Sydney; Argyle Street, 1834",1833,8 July,0287,NRS 14401 [4/64]; Reel 5051,
ABRAHAMS,Henry,"Jews Harp, The","George Street, Sydney",1833,4 July,0203,NRS 14401 [4/64]; Reel 5051,
ABRAHAMS,Henry,"Jews Harp, The","George Street, Sydney",1831,29 June,0022,NRS 14401 [4/62]; Reel 5049,
ABRAHAMS,Henry,"Fox and Hounds, The","Elizabeth and King Streets, Sydney, 1835; Elizabeth Street, Sydney; King Street, Sydney, 1834",1835,22 June,0012,NRS 14401 [4/66]; Reel 5052,
ABRAHAMS,Henry,Fox and Hounds,"Elizabeth and King Streets; Elizabeth Street, Sydney; King Street",1834,2 July,0174,NRS 14401 [4/65]; Reel 5052,
ABRAHAMS,Henry,"Jews Harp, The","George Street, Sydney",1832,4 July,0155,NRS 14401 [4/63]; Reel 5050,
ABRAHAMS,Henry,"Fox and Hounds, The","Elizabeth and King Streets, June 1835; Elizabeth Street, Sydney; King Street, July, 1834",1834,1 April,0033/13,NRS 14401 [4/64]; Reel 5051,40/- license; removal of license; re license number 303
ACKHURSTE,James Harriet,"Star Inn, The","Phillip and Hunter Streets, Sydney",1860,17 April,0857,NRS 14403 [7/1513]; Reel 1242,
ADAMS,Edward,South Huskisson Hotel,Jervis Bay,1841,7 October,0454,NRS 14401 [7/1501]; Reel 1236,
ADAMS,Edward,"South Huskisson Hotel, The","Jarvis Bay, Wollongong",1842,29 June,0346,NRS 14401 [4/74]; Reel 5057,
ADAMS,George,"Steam Packet Inn, The","Terragong Street, Kiama",1860,17 April,0233,NRS 14403 [7/1512]; Reel 1241,
ADAMS,Harry,"Australian Arms, The","Little Billabong, District of Albury",1860,17 April,0711,NRS 14403 [7/1513]; Reel 1242,
ADAMS,Henry,Black Horse,East Maitland,1848,27 June,0412,NRS 14401 [4/83]; Reel 5062,
ADAMS,Henry,"Black Horse, The","Newcastle Street, East Maitland",1856,15 April,0516,NRS 14403 [7/1505]; Reel 1238,
ADAMS,Henry,"Black Horse, The",East Maitland,1855,1 May,0654,NRS 14403 [7/1502]; Reel 1236,
ADAMS,Henry,"Woolpack Inn, The","Sydney Road, Little Billy Bong, District of Albury",1857,21 April,0019,NRS 14403 [7/1508]; Reel 1239,
ADAMS,Henry,"Black Horse, The","Newcastle Street, East Maitland",1860,17 April,0442,NRS 14403 [7/1512]; Reel 1241,
ADAMS,Henry,Black Horse,East Maitland,1842,13 June,0097,NRS 14401 [4/74]; Reel 5057,
ADAMS,Henry,"Black Horse, The","Newcastle Street, East Maitland",1858,20 April,0729,NRS 14403 [7/1510]; Reel 1240,
ADAMS,Henry,"Black Horse, The","Newcastle Street, Maitland",1853,19 April,0300,NRS 14403 [4/84]; Reel 5063,
ADAMS,Henry,Black Horse,East Maitland,1844,19 June,0112,NRS 14401 [4/76]; Reel 5059,
ADAMS,Henry,"Woolpack Inn, The",Little Billybong on the Melbourne and Sydney roads,1855,17 April,1065,NRS 14403 [7/1503]; Reel 1237,
ADAMS,Henry,"Black Horse, The",East Maitland,1845,2 July,0528,NRS 14401 [4/77]; Reel 5059,
ADAMS,Henry,Black Horse,East Maitland,1840,5 June,0088,NRS 14401 [4/72]; Reel 5056,
ADAMS,Henry,"Black Horse, The",East Maitland,1846,8 June,0058,NRS 14401 [4/78]; Reel 5060,
ADAMS,Henry,"Black Horse, The",East Maitland,1847,23 June,0191,NRS 14401 [4/79]; Reel 5061,
ADAMS,Henry,"Black Horse, The","Newcastle Street, East Maitland",1854,18 April,0173,NRS 14403 [4/87]; Reel 5065,
ADAMS,Henry,"Woolpack Inn, The","Little Billy Bong, District of Albury",1856,6 May,0083,NRS 14403 [7/1504]; Reel 1237,
ADAMS,Henry,Black Horse,East Maitland,1841,15 June,0146,NRS 14401 [7/1501]; Reel 1236,
ADAMS,Henry,Black Horse,"Newcastle Street, East Maitland",1856,15 April,0516,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Maitland
