,School,Date,Item,Remarks,
,Abbotsford,1928-1934,[5/14593],"Administrative file (2 bundles, A and B)",
,Abbotsford,1934-1939,[5/14594.1],Administrative file,
,Abbotsford,Post 1939,[14/7241],Administrative file,
,Abbotsford,1876-1928,[5/14592],"Administrative file (2 bundles, A and B)",
,Abbotsford Infants,16.3.1925-3.12.1935,[1/9222],Admission register,
,Abbotsford Infants,16.3.1925-2.2.1949,[1/9223],Admission register,
,Abbotsford Infants,28.1.1936-3.12.1952,[1/9224],Admission register,
,Abbotsford Infants,3.3.1926-1930,[1/9225],Stock Book,
,Abbotsford Infants,1936-1946,[1/9226],Comments and suggestions book,
,Abbotsford Infants,1948-1954,[1/9227],Observation book,
,Aberbaldie,1895-1907,[5/14594.2],Administrative file,
,Abercrombie (1) - (2),1895-1908,[5/14595.1],Administrative file,
,Aberdeen,Post 1939,[14/7241],Administrative file,
,Aberdeen,1876-1908,[5/14595.2],Administrative file,
,Aberdeen,1908-1939,[5/14596],"Administrative file (2 bundles, A and B)",
,Aberfoil,1885-1908,[5/14597.1],Administrative file,
,Aberglasslyn,1876-1939,[5/14597.2],Administrative file,
,Abermain,Post 1939,[14/7241],Administrative file,
,Abermain,1905-1916,[5/14598],"Administrative file (2 bundles, A and B)",
,Abermain,1917-1929,[5/14599],"Administrative file (2 bundles, A and B)",
,Abermain,1930-1939,[5/14600.1],"Administrative file (2 bundles, A and B)",
,Abermain Shaft No. 2,1912-1913,[5/14600.2],Administrative file,
,Abernethy,1918-1939,[5/14601.1],Administrative file,
,Abington,Post 1939,[14/7241],Administrative file,
,Abington,1902-1920,[5/14601.2],Administrative file,
,Abington (subsidised),27.11.1939-10.2.1969,[1/4031],Visitors' book,
,Abington Provisional,1953-1968,[1/10777],Punishment Book,
,Abington Provisional,1956-1968,[1/10778],Observation Book,
,Abington Provisional,1948-1969,[1/10779],Admission Register,
,Acacia,1898-1939,[5/14602.1],Administrative file,
,Acacia Creek,Post 1939,[14/7242],Administrative file,
,Acacia Creek,1881-1899,[5/14602.2],Administrative file,
,Acacia Creek Lower,6.6.1940-4.10.1961,[1/9355],Visitors' book,
