Surname,FirstName,Dates,Locality,Reel,Item,Remarks
ABBOT,John,21 Mar 1828-13 May 1834,"Emu Plains, Hunter River, Parramatta, Pennant Hills, Penrith, Pitt Town, Richmond, Windsor",3051,[2/1509.1],
ADAMS,Phillip Francis,26 Aug 1854-18 Dec 1855,"Bondi, Maitland, Newcastle",3051,[2/1509.2],
ARMSTRONG,John,"5 Oct 1841, 15 May 1848-31 Dec 1855","Bargo, Bindi, Burragorang, Burrowa, Camden, Crookwell, Goulburn, Mittagong, Picton, Rockley",3051,[2/1510],
ARMSTRONG,William,10 Jan 1851-31 Dec 1855,"Bowenfels, Mudgee, O’Connell Plains, Rylstone",3052,[2/1511.1],
ARNHEIM,E H,1 Jul 1854-31 Dec 1855,"Bombala, Cooma, Georges River, Nimmitabel",3052,[2/1511.2],
AUDLEY,George Edward,12 Jun 1852-22 Dec 1855,"Lachlan District, Woolloomooloo",3052,[2/1511.3],
BAGOT,Robert C,10 Jul 1849-20 Jun 1854,"Darling Downs, Maranoa District",3052,[2/1512.1],
BAYLY,Charles Arthur C,18 Oct 1847,,3052,[2/1512.2],
BENNETT,William C,1 May 1855-31 Dec 1855,"Appin, Campbelltown, Cataract River, Cordeaux River, Wollongong",3052,[2/1512.3],
BIRMINGHAM,Frederick W,7 Mar 1855-18 Dec 1855,"Longbottom, Parramatta",3052,[2/1513.1],
BRANSBY,Spencer L,"25 Jul 1853, 15 Apr 1854-24 Dec 1855","Bega, Eden, Moruya, Pambula",3052,[2/1513.2],
BROMFIELD,Percy,31 Oct 1849-1 May 1852,"Cassilis, Coolah, Dubbo, Merriwa, Muswellbrook, Manilla River, Namoi River, Tamworth",3053,[2/1514.1],
BROWNRIGG,W. Meadows,20 May 1841-29 Mar 1850,"Monaro District, Parramatta, Riley Estate, Surry Hills",3053,[2/1514.2],
BUCHANAN,James,20 Jul 1853-1 Aug 1855,Maryborough,3053,[2/1514.3],
BURKE,John,24 Nov 1841-29 Dec 1845,"Camden, Dapto, East Bargo, Huskisson, Jamberoo, Jervis Bay, Kiama, Wollongong",3053,[2/1514.4],
BURNETT,James Charles,"24 Sep 1832, 3 Mar 1834, 13 Oct 1835, 7 Oct 1837, 28 Mar 1838-3 Dec 1847","Brisbane, Clarence River, Dapto, Drayton, Ipswich, Jamberoo, Kiama, Peel River, Richmond River, Shoalhaven River, Tamworth, Ulladulla, Warwick, Wollongong,Wandandian",3054,[2/1515],
BURNETT,James Charles,1 Jan 1848-21 Jul 1854,"Brisbane, Clarence River, Dapto, Drayton, Ipswich, Jamberoo, Kiama, Peel River, Richmond River, Shoalhaven River, Tamworth, Ulladulla, Warwick, Wollongong,Wandandian",3055,[2/1516],
BURROWES,Edward Lewis Major,"27 June 1840-15 Jun 1842, 30 Apr 1848-2 Dec 1851","Clarence River, Dapto, Dungog, Gerringong, Kiama, Liverpool, Manning River, Merriwa, Parramatta, Scone, Sydney, Wollongong",3056,[2/1517],
BURROWES,Edward Lewis Major,10 Jan 1852-31 Dec 1855,"Clarence River, Dapto, Dungog, Gerringong, Kiama, Liverpool, Manning River, Merriwa, Parramatta, Scone, Sydney, Wollongong",3056,[2/1518],
BUTLER,Henry Cavendish Danvers,25 May 1831-30 Dec 1835,"Bathurst, Belubula River, Brisbane Water, Castle Hill, Colo River, Cullen Bullen, Cudjegong, Liverpool, Macdonald River, Mudgee, Parramatta, Pipers Flat,Sydney, Wellington, Windsor",3057,[2/1519],
BUTLER,Henry Cavendish Danvers,7Jan 1836-21 Jun 1838,"Bathurst, Belubula River, Brisbane Water, Castle Hill, Colo River, Cullen Bullen, Cudjegong, Liverpool, Macdonald River, Mudgee, Parramatta, Pipers Flat,Sydney, Wellington, Windsor",3057,[2/1520],
CAMPBELL,Patrick F,1 Sep 1827-29 Mar 1830,Wallis Plains,3057,[2/1521.1],
CARMICHAEL,Henry,4 Oct 1849-8 Oct 1855,"Aberdeen, Camberwell, Clarence, Dungog, Manning River, Merriwa, Murrurundi, Page River, Raymond Terrace, Seaham, Tinonee",3058,[2/1521.2],
CAVENAGH,Philip,17 Nov 1825,Hobart,3058,[2/1521.3],
CHARLTON,Horace,"Jul 1844, 31 Aug 1848-31 Dec 1851","Alnwick, Blackheath, Bowenfels, Colo River, Fish River, Hartley, Hassans Walls, Kanimbla Valley, Kurrajong, Lisdale, Maitland, Megalong Valley, Mt Victoria, Newcastle, Putty, St Albans, St Leonards, Wollombi",3058,[2/1522],
CHARLTON,Horace,17 Feb 1851-6 Dec 1855,"Alnwick, Blackheath, Bowenfels, Colo River, Fish River, Hartley, Hassans Walls, Kanimbla Valley, Kurrajong, Lisdale, Maitland, Megalong Valley, Mt Victoria,Newcastle, Putty, St Albans, St Leonards, Wollombi",3059,[2/1523],
COX,C B,14 Jun 1855-23 Oct 1855,"Bathurst, Orange, Wellington",3058,[2/1521.4],
CROUDACE,Henry,20 Mar 1852-5 Nov 1855,"Roads- Sydney – Illawarra, Sydney - Wollombi",3059,[2/1524],
DALGETY,Samuel G,"23 Jul 1838- 8 Nov 1843, 9 Aug 1845, 27 Mar 1848-25 Oct 1848, 9 Aug 1849, 7 Aug1850, 19 Sep 1851-13 Jan 1852","Brisbane Water, Cattai, Dural, Gosford, Hartley, Lane Cove, Lower Hawkesbury, Macdonald River, Mangrove Ck., Pittwater, St Albans, St Leonards",3059,[2/1525],
DANGAR,Henry,"28 Mar 1822-20 Aug 1824, 6 Jan 1826-13 Mar 1827, 9 Jul 1831, 7 Apr 1834, 5 Jun1843, 13 Jan 1848-22 Jul 1848, 5 Sep 1850-27 Sep 1851","Hunter River, Newcastle, Port Stephens",3060,[2/1526.1],
DARKE,William Wedge,"17 Feb 1836-6 Mar 1836, 20 Jan 1843-31 Dec 1850, 12 Feb 1853-18 Dec 1855","Bathurst, Clarence River, Grafton, Illawarra Road, Kempsey, Sydney, Tabulan",3060,[2/1527],
DAVIDSON,Walker R,"25 Apr 1833, 3 Jul 1833, 25 Aug 1835-19 Nov 1835, 14 Jul 1836, 9 Feb 1837-30 Dec 1839","Abercrombie Caves, Bathurst, Bogan River, Carcoar, Darling River, Hartley, Kelso, Molong, Mudgee, Orange, Rylstone, Wellington",3061,[2/1528],
DAVIDSON,Walker R,24 Jan 1840-26 Dec 1846,"Abercrombie Caves, Bathurst, Bogan River, Carcoar, Darling River, Hartley, Kelso, Molong, Mudgee, Orange, Rylstone, Wellington",3061,[2/1529],
DAVIDSON,Walker R,19 Jan 1847-31 Dec 1855,,3062,[2/1530.1],
DEBENHAM,John,18 Jul 1853-14 Dec 1855,"Aberdeen, Dartbrook, Denman, Murrurundi, Muswellbrook, Picton, Scone",3062,[2/1530.2],
DIXON,Arthur,22 Dec 1852-8 Aug 1853,"St Georges River, Road to the Illawarra",3062,[2/1531.1],
DIXON,Robert,"18 Oct 1827-15 Jan 1834, 25 Jan 1835-19 Jul 1836, 18 Sep 1838, 27 Apr 1840-26 Oct 1841, 25 Aug 1842, 24 Jul 1855","Bathurst, Bong Bong, Burragorang, Goulburn Plains, Hunter River, Moreton Bay, Muswelbrook, Pages River, Wollombi, Yass Plains",3063,[2/1531.2],
DOCKER,Robert N,"5 Mar 1829-18 Nov 1829, 1 Jul 1831","Murrumbidgee River, Yass",3063,[2/1532.1],
DRAKE,J C,"9 Nov 1850, 13 Aug 1852-Dec 1855","Eden - Monaro District, North Shore (Sydney)",3064,[2/1533.1],
DULHUNTY,Laurence V,"6 Jan 1830-19 Mar 1830, 28 Apr 1832-11 Jan 1837","Roads- Sydney – Wollombi, Sydney - Bathurst",3063,[2/1532.2],
DUMARESQ,Edward,"24 Dec 1825, 11 Jan 1826, 17 Feb 1827, 21 Apr 1827",Hobart,3064,[2/1533.2],
D’ARCY,Frederick R,"31 May 1830-8 Dec 1831, 12 Apr 1832, 6 Jun 1833-22 Aug 1835, 25 Jun 1836-14 Jul 1836,17 Dec 1845, 7 Aug 1847, 8 Mar 1849, 25 Aug 1851, 25 Oct 1852-29 Nov 1855","Bathurst, Bowenfels, Colo River, Dabee, Emu Plains, Hartley, Hay, Hawkesbury River, Port Macquarie, Wollemi",3060,[2/1526.2],
EDWARDS,John,"2 Apr 1830-2 Nov 1830, 19 Sep 1831-24 Jul 1834",Central Coast,3064,[2/1533.3],
ELLIOTT,Phillip,"24 Mar 1828-16 Apr 1838, 6 Oct 1840, 1 Oct 1841","Appin, Bargo, Bong Bong, Burragorang, Camden, Goulburn, Illawarra, Mt York, Mulgoa, Nattai River",3064,[2/1534],
FINCH,Heneage,"3 Feb 1826-9 Apr 1833, 12 Oct 1836-15 May 1839","Hunter River, New England, Port Macquarie, Sydney, Wollombi",3065,[2/1535.1],
FISHER,Edward,12 Oct 1854-31 Nov 1855,"Gundagai, Tumut, Wagga Wagga, Willoughby",3065,[2/1535.2],
FLIDE,Benjamin Charles,26 Mar 1850-31 Dec 1855,"Albury, Barraba, Liverpool Plains, Orange, Peel River, Sofala, Tambaroura, Tumut,Wagga Wagga, Wellington",3065,[2/1536.1],
FLORANCE,Thomas,12 Aug 1826-1 Oct 1844,"Coastal Surveys, (South and Central Coasts), Manning River, Newcastle, Port Stephens, Shoalhaven, St Georges Basin",3066,[2/1536.2],
