Surname,FirstName,Dates,Locality,Reel,Item,Remarks,ID
ABBOT,John,21 Mar 1828-13 May 1834,"Emu Plains, Hunter River, Parramatta, Pennant Hills, Penrith, Pitt Town, Richmond, Windsor",3051,[2/1509.1],,1
ADAMS,Phillip Francis,26 Aug 1854-18 Dec 1855,"Bondi, Maitland, Newcastle",3051,[2/1509.2],,2
ARMSTRONG,John,"5 Oct 1841, 15 May 1848-31 Dec 1855","Bargo, Bindi, Burragorang, Burrowa, Camden, Crookwell, Goulburn, Mittagong, Picton, Rockley",3051,[2/1510],,3
ARMSTRONG,William,10 Jan 1851-31 Dec 1855,"Bowenfels, Mudgee, O’Connell Plains, Rylstone",3052,[2/1511.1],,4
ARNHEIM,E H,1 Jul 1854-31 Dec 1855,"Bombala, Cooma, Georges River, Nimmitabel",3052,[2/1511.2],,5
AUDLEY,George Edward,12 Jun 1852-22 Dec 1855,"Lachlan District, Woolloomooloo",3052,[2/1511.3],,6
BAGOT,Robert C,10 Jul 1849-20 Jun 1854,"Darling Downs, Maranoa District",3052,[2/1512.1],,7
BAYLY,Charles Arthur C,18 Oct 1847,,3052,[2/1512.2],,8
BENNETT,William C,1 May 1855-31 Dec 1855,"Appin, Campbelltown, Cataract River, Cordeaux River, Wollongong",3052,[2/1512.3],,9
BIRMINGHAM,Frederick W,7 Mar 1855-18 Dec 1855,"Longbottom, Parramatta",3052,[2/1513.1],,10
BRANSBY,Spencer L,"25 Jul 1853, 15 Apr 1854-24 Dec 1855","Bega, Eden, Moruya, Pambula",3052,[2/1513.2],,11
BROMFIELD,Percy,31 Oct 1849-1 May 1852,"Cassilis, Coolah, Dubbo, Merriwa, Muswellbrook, Manilla River, Namoi River, Tamworth",3053,[2/1514.1],,12
BROWNRIGG,W. Meadows,20 May 1841-29 Mar 1850,"Monaro District, Parramatta, Riley Estate, Surry Hills",3053,[2/1514.2],,13
BUCHANAN,James,20 Jul 1853-1 Aug 1855,Maryborough,3053,[2/1514.3],,14
BURKE,John,24 Nov 1841-29 Dec 1845,"Camden, Dapto, East Bargo, Huskisson, Jamberoo, Jervis Bay, Kiama, Wollongong",3053,[2/1514.4],,15
BURNETT,James Charles,"24 Sep 1832, 3 Mar 1834, 13 Oct 1835, 7 Oct 1837, 28 Mar 1838-3 Dec 1847","Brisbane, Clarence River, Dapto, Drayton, Ipswich, Jamberoo, Kiama, Peel River, Richmond River, Shoalhaven River, Tamworth, Ulladulla, Warwick, Wollongong,Wandandian",3054,[2/1515],,16
BURNETT,James Charles,1 Jan 1848-21 Jul 1854,"Brisbane, Clarence River, Dapto, Drayton, Ipswich, Jamberoo, Kiama, Peel River, Richmond River, Shoalhaven River, Tamworth, Ulladulla, Warwick, Wollongong,Wandandian",3055,[2/1516],,17
BURROWES,Edward Lewis Major,"27 June 1840-15 Jun 1842, 30 Apr 1848-2 Dec 1851","Clarence River, Dapto, Dungog, Gerringong, Kiama, Liverpool, Manning River, Merriwa, Parramatta, Scone, Sydney, Wollongong",3056,[2/1517],,18
BURROWES,Edward Lewis Major,10 Jan 1852-31 Dec 1855,"Clarence River, Dapto, Dungog, Gerringong, Kiama, Liverpool, Manning River, Merriwa, Parramatta, Scone, Sydney, Wollongong",3056,[2/1518],,19
