id,more_info_url,status,title,url
47,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/indigenous-people-the-register-aboriginal,Not digitised,"Index on Occupants on Aboriginal Reserves, 1875 to 1904",https://www.records.nsw.gov.au/searchhits_nocopy?id=47&surname=%25&firstname=&location=
91,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/botanic-gardens-and-government-domains,Not digitised,Botanic Gardens and Government Domains Employees Index ,https://www.records.nsw.gov.au/searchhits_nocopy?id=91&Surname=%25&First_names=&Date_of_birth=
9,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/assisted-immigrants-index,Fully digitised,Assisted Immigrants,https://www.records.nsw.gov.au/searchhits_nocopy?id=9&Surname=%25&Firstname=&Ship&Year=&Arriving&Remarks=
55,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/miscellaneous-immigrants-index,Not digitised,Index to Miscellaneous Immigrants,https://www.records.nsw.gov.au/searchhits_nocopy?id=55&surname=%25&firstname=&ship=&date=
43,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/unassisted-immigrants-index,Not digitised,Index to the Unassisted Arrivals NSW 1842-1855,https://www.records.nsw.gov.au/searchhits_nocopy?id=43&names=%25&ship=&date%20of%20arrival=&origin%20port=
49,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/vessels-arrived-sydney,Not digitised,"Index to Vessels Arrived, 1837 - 1925",https://www.records.nsw.gov.au/searchhits_nocopy?id=49&ship%20name=%25&year=&month
80,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/infirm-destitute-government-asylums-indexes,Not digitised,Government Asylums for the Infirm and Destitute,https://www.records.nsw.gov.au/searchhits_nocopy?id=80&Surname=%25&Firstname=&Institution&Date_of_Admission=&Date_of_Discharge=
74,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/child-care-and-protection-index,Not digitised,Child Care and Protection,https://www.records.nsw.gov.au/searchhits_nocopy?id=74&surname=%25&firstname=&committal%20date=&institution&remarks=
11,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/bench-magistrates-index,Not digitised,"Bench of Magistrates cases, 1788-1820",https://www.records.nsw.gov.au/searchhits_nocopy?id=11&surname=%25&firstname=&charge%20or%20nature%20of%20document=&date=
42,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/court-civil-jurisdiction-index,Not digitised,Court of Civil Jurisdiction index,https://www.records.nsw.gov.au/searchhits_nocopy?id=42&plaintiff=%25&defendant=&date=
57,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/criminal-court-records-index,Not digitised,Criminal Court Records index 1788-1833,https://www.records.nsw.gov.au/searchhits_nocopy?id=57&names=%25&offence=&date=
86,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/criminal-indictments-index,Not digitised,"Criminal Indictments, 1863-1919",https://www.records.nsw.gov.au/searchhits_nocopy?id=86&Surname=%25&Firstname=&Alias=&Offence=&Where_Tried=&Date_of_Trial=
1,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/indigenous-colonial-court-cases,Not digitised,Indigenous Colonial Court Cases 1788-1838,https://www.records.nsw.gov.au/searchhits_nocopy?id=1&names=%25&offence=&date%20of%20trial=&where%20tried=
83,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/nsw-king%E2%80%99s-queen%E2%80%99s-counsel-appointment,Fully digitised,King’s and Queen’s Counsel Appointments,https://www.records.nsw.gov.au/searchhits_nocopy?id=83&Surname=%25&Firstname=&Year_appointed_silk=
59,https://www.records.nsw.gov.au/archives/collections-and-research/guides-and-indexes/bankruptcy-index,Not digitised,Bankruptcy Index,https://www.records.nsw.gov.au/searchhits_nocopy?id=59&surname=%25&firstname=&date%20of%20trial=&occupation=&date%20of%20sequestration=&business=
